Category: All categories

Country,Charlie Chaplin: (2013),Peter Jackson: (2013)
Morocco,100,0
Brazil,81,3
Colombia,66,0
Iran,63,0
New Zealand,0,58
Chile,57,0
Argentina,56,0
France,55,8
Portugal,55,0
Ecuador,52,0
Switzerland,50,0
Mexico,45,0
Bulgaria,45,0
India,43,0
Peru,42,0
United Arab Emirates,41,0
Pakistan,41,0
Serbia,40,0
Italy,39,5
Greece,35,0
Ireland,35,0
Philippines,34,0
Spain,34,7
Austria,33,0
Sweden,32,0
Denmark,32,0
Romania,31,0
Finland,31,0
Russia,31,0
Canada,30,12
Belgium,30,0
Turkey,30,4
United Kingdom,30,13
Venezuela,30,0
Israel,28,0
Australia,26,27
United States,26,8
Hungary,25,0
Germany,25,8
Ukraine,23,0
Vietnam,20,0
Netherlands,20,0
Poland,17,0
Japan,17,0
Malaysia,15,0
Indonesia,13,0
