Category: All categories

Country,Charlie Chaplin: (2016),David Ayer: (2016)
Switzerland,100,0
Morocco,80,0
Pakistan,78,0
Tunisia,72,0
Iran,64,0
Colombia,64,0
Bangladesh,62,0
Kazakhstan,61,0
Iraq,59,0
France,59,0
India,58,0
Brazil,58,0
Peru,53,0
Chile,52,0
Bulgaria,52,0
Argentina,48,0
United Arab Emirates,48,0
Ecuador,46,0
Mexico,45,0
Portugal,45,0
Italy,42,0
Sweden,42,0
Greece,40,0
Spain,40,0
Serbia,39,0
Belgium,39,0
Romania,37,0
Finland,36,0
Algeria,35,0
Denmark,34,0
Austria,34,0
Ireland,32,0
Philippines,32,0
Turkey,29,0
Egypt,28,0
Canada,28,0
United Kingdom,28,0
Russia,28,0
Ukraine,26,0
Venezuela,25,0
Germany,25,0
United States,24,2
Australia,24,0
Israel,23,0
Netherlands,23,0
South Africa,23,0
Japan,22,0
Saudi Arabia,22,0
Malaysia,21,0
Poland,18,0
Indonesia,14,0
Vietnam,13,0
Thailand,7,0
